Timestamp,Tg_10MinAve,Ts_0cm(raised)_10MinAve,Ts_0cm(Sunk)_10MinAve,Ts_4cm_10MinAve,Ts_10cm_10MinAve,Ts_20cm_10MinAve,Ts_40cm_10MinAve,Swc_4cm_10MinAve,Swc_20cm_10MinAve,SHF_10cm_10MinAve,SHF_20cm_10MinAve
2012/1/1 0:00,-28.176,-7.76,-13.04,-5.658,-4.246,-3.252,-2.875,4.989,3.093,-12.9,-4.725182482
2012/1/1 1:00,-29.019,-8.24,-13.67,-6.24,-4.747,-3.531,-2.848,4.89,3.061,-14.40969163,-6.934306569
2012/1/1 2:00,-29.173,-8.73,-14.13,-6.752,-5.167,-3.789,-2.858,4.791,2.995,-15.53436123,-8.751824818
2012/1/1 3:00,-29.803,-9.1,-14.54,-7.21,-5.591,-4.061,-2.848,4.759,2.995,-16.21674009,-10.27554745
2012/1/1 4:00,-30.497,-9.49,-14.99,-7.63,-5.949,-4.283,-2.878,4.66,2.929,-16.64933921,-11.50255474
2012/1/1 5:00,-30.864,-9.85,-15.35,-8,-6.289,-4.556,-2.951,4.594,2.929,-17.0753304,-12.5
2012/1/1 6:00,-30.635,-10.11,-15.48,-8.34,-6.63,-4.786,-3.005,4.561,2.896,-17.21982379,-13.42591241
2012/1/1 7:00,-31.316,-10.36,-15.94,-8.66,-6.941,-5.014,-3.152,4.494,2.863,-17.22687225,-14.2270073
2012/1/1 8:00,-31.095,-10.64,-16.17,-8.98,-7.24,-5.22,-3.224,4.461,2.863,-17.51189427,-14.90145985
2012/1/1 9:00,-30.612,-10.76,-15.97,-9.2,-7.49,-5.428,-3.323,4.395,2.797,-17.36784141,-15.4879562
2012/1/1 10:00,-20.236,-10.24,-10.68,-9.02,-7.66,-5.621,-3.367,4.461,2.796,-16.0876652,-15.84014599
2012/1/1 11:00,-8.498,-8.05,-1.623,-7.76,-7.39,-5.719,-3.345,4.558,2.795,-8.576211454,-15.09306569
2012/1/1 12:00,-0.2709,-5.261,3.431,-5.923,-6.573,-5.669,-3.418,4.854,2.793,1.525110132,-11.81934307
2012/1/1 13:00,8.0424,-2.437,7.97,-4.031,-5.439,-5.367,-3.483,5.117,2.791,10.10132159,-6.9
2012/1/1 14:00,12.411,0.128,10.49,-2.27,-4.255,-4.91,-3.544,5.579,2.856,16.24449339,-1.715328467
2012/1/1 15:00,10.613,1.759,10.58,-0.99,-3.146,-4.332,-3.551,6.209,2.922,19.1969163,2.539051095
2012/1/1 16:00,8.9935,1.851,9.64,-0.51,-2.377,-3.781,-3.552,6.639,2.954,18.44933921,5.741605839
2012/1/1 17:00,-0.39757,1.554,6.559,-0.259,-1.873,-3.314,-3.475,7.1,3.054,16.78634361,7.424817518
2012/1/1 18:00,-5.7534,0.194,2.341,-0.471,-1.61,-2.916,-3.342,6.872,3.054,14.05110132,8.015328467
2012/1/1 19:00,-9.8951,-1.225,-1.208,-0.946,-1.586,-2.679,-3.26,6.309,3.121,10.59207048,7.786131387
2012/1/1 20:00,-12.976,-2.355,-3.642,-1.567,-1.753,-2.523,-3.145,5.912,3.155,6.487665198,6.786131387
2012/1/1 21:00,-15.863,-3.528,-5.713,-2.27,-2.023,-2.464,-3.027,5.681,3.156,2.055066079,5.084671533
2012/1/1 22:00,-15.162,-3.886,-5.277,-2.775,-2.384,-2.505,-2.908,5.482,3.157,-1.081057269,3.001459854
2012/1/1 23:00,-15.179,-4.096,-5.614,-3.084,-2.652,-2.585,-2.845,5.417,3.157,-2.347136564,1.164233577
2012/1/2 0:00,-13.353,-4.296,-5.299,-3.363,-2.89,-2.67,-2.754,5.317,3.157,-3.468722467,-0.110583942
2012/1/2 1:00,-12.115,-4.08,-4.676,-3.405,-3.045,-2.756,-2.725,5.318,3.091,-3.293832599,-1.077737226
2012/1/2 2:00,-14.641,-4.173,-5.695,-3.478,-3.107,-2.831,-2.672,5.284,3.091,-3.034801762,-1.557664234
2012/1/2 3:00,-13.76,-4.551,-5.684,-3.747,-3.243,-2.894,-2.663,5.251,3.124,-4.318942731,-2.037591241
2012/1/2 4:00,-13.865,-4.453,-5.448,-3.813,-3.372,-2.968,-2.638,5.251,3.091,-4.335682819,-2.709124088
2012/1/2 5:00,-12.975,-4.436,-5.24,-3.869,-3.443,-2.993,-2.612,5.251,3.091,-4.188546256,-2.994160584
2012/1/2 6:00,-15.108,-4.437,-5.72,-3.889,-3.484,-3.058,-2.595,5.184,3.124,-4.011894273,-3.232846715
2012/1/2 7:00,-17.444,-5.089,-7.58,-4.229,-3.599,-3.082,-2.582,5.119,3.091,-5.507488987,-3.471167883
2012/1/2 8:00,-17.372,-5.421,-8.08,-4.485,-3.772,-3.152,-2.598,5.086,3.092,-6.713656388,-4.181021898
2012/1/2 9:00,-14.286,-5.167,-6.324,-4.54,-3.934,-3.26,-2.598,5.086,3.125,-6.774449339,-4.886861314
2012/1/2 10:00,-9.8058,-4.561,-3.44,-4.329,-3.942,-3.285,-2.581,5.119,3.058,-5.23215859,-5.135036496
2012/1/2 11:00,-6.7949,-3.181,-0.232,-3.644,-3.734,-3.33,-2.593,5.185,3.058,-1.271806167,-4.482846715
2012/1/2 12:00,-2.975,-2.027,2.892,-2.973,-3.364,-3.246,-2.59,5.283,3.057,1.704845815,-3.003649635
2012/1/2 13:00,-1.4423,-0.307,5.507,-1.95,-2.868,-3.099,-2.603,5.482,3.123,6.555947137,-1.171167883
2012/1/2 14:00,-10.886,-0.846,0.291,-1.674,-2.387,-2.874,-2.599,5.515,3.123,7.68722467,0.928467153
2012/1/2 15:00,-13.089,-1.999,-1.628,-2.078,-2.286,-2.685,-2.57,5.482,3.156,4.098678414,1.793430657
2012/1/2 16:00,-13.822,-2.39,-1.988,-2.28,-2.368,-2.585,-2.552,5.416,3.156,2.018061674,1.34379562
2012/1/2 17:00,-14.223,-2.628,-2.69,-2.407,-2.392,-2.532,-2.476,5.416,3.157,1.099118943,0.957664234
2012/1/2 18:00,-14.875,-2.868,-3.334,-2.551,-2.468,-2.528,-2.466,5.45,3.157,0.134801762,0.478832117
2012/1/2 19:00,-15.8,-3.152,-3.958,-2.717,-2.544,-2.508,-2.427,5.384,3.157,-0.848898678,-0.012043796
2012/1/2 20:00,-16.153,-3.404,-4.317,-2.907,-2.66,-2.513,-2.401,5.317,3.157,-1.636563877,-0.657664234
2012/1/2 21:00,-16.625,-3.53,-4.333,-3.029,-2.749,-2.548,-2.369,5.318,3.158,-2.310132159,-1.077737226
2012/1/2 22:00,-17.617,-3.668,-4.547,-3.128,-2.849,-2.604,-2.348,5.319,3.158,-2.639207048,-1.556569343
2012/1/2 23:00,-17.784,-3.812,-4.791,-3.253,-2.917,-2.599,-2.328,5.286,3.158,-3.084140969,-1.959124088
2012/1/3 0:00,-18.195,-3.946,-5.065,-3.367,-2.997,-2.659,-2.323,5.286,3.158,-3.469603524,-2.275547445
2012/1/3 1:00,-21.208,-4.2,-5.688,-3.513,-3.077,-2.721,-2.31,5.22,3.159,-3.969603524,-2.698905109
2012/1/3 2:00,-21.628,-4.435,-5.968,-3.685,-3.196,-2.719,-2.298,5.22,3.159,-4.692070485,-3.056934307
2012/1/3 3:00,-27.825,-4.831,-7.36,-3.907,-3.343,-2.804,-2.301,5.188,3.093,-5.459030837,-3.532481752
2012/1/3 4:00,-26.235,-5.277,-7.67,-4.215,-3.5,-2.882,-2.296,5.121,3.093,-6.830396476,-4.191240876
2012/1/3 5:00,-28.073,-5.595,-8.38,-4.462,-3.693,-2.959,-2.305,5.089,3.093,-7.7030837,-4.919343066
2012/1/3 6:00,-28.71,-5.825,-8.34,-4.725,-3.911,-3.084,-2.316,5.057,3.094,-8.388986784,-5.645985401
2012/1/3 7:00,-31.893,-6.26,-9.43,-4.965,-4.082,-3.185,-2.309,5.057,3.094,-8.985903084,-6.326277372
2012/1/3 8:00,-31.419,-6.612,-9.77,-5.248,-4.327,-3.331,-2.356,4.992,3.062,-9.86123348,-7.020437956
2012/1/3 9:00,-31.686,-6.826,-10.13,-5.473,-4.521,-3.44,-2.344,4.925,3.062,-10.27268722,-7.734671533
2012/1/3 10:00,-29.379,-6.933,-9.04,-5.662,-4.693,-3.537,-2.388,4.893,2.996,-10.38325991,-8.315328467
2012/1/3 11:00,-17.685,-6.466,-3.843,-5.503,-4.808,-3.709,-2.419,4.925,2.995,-8.292070485,-8.672627737
2012/1/3 12:00,-12.462,-5.339,-1.275,-4.85,-4.618,-3.744,-2.457,5.054,2.992,-3.791629956,-8.043430657
2012/1/3 13:00,-8.8984,-3.985,0.423,-3.946,-4.253,-3.716,-2.501,5.183,3.057,0.860792952,-6.400364964
2012/1/3 14:00,-9.3219,-1.882,2.724,-2.719,-3.712,-3.601,-2.544,5.446,3.055,6.262555066,-4.062408759
2012/1/3 15:00,-12.965,-1.339,1.22,-2.143,-3.083,-3.384,-2.56,5.479,3.055,8.356828194,-1.301094891
